Date / Time,City,State,Shape,Duration,Summary,Posted
4/26/2020 23:30,Claremont,CA,Triangle,15-45 seconds,TRIANGULAR AIRCRAFT EERILY SILENT AND SLOW-MOVING,6/25/2020
4/26/2020 22:40,Pinckney,MI,Other,15 seconds,Many lights up and down. ((Starlink satellites?)),6/25/2020
4/26/2020 22:30,Billings,MT,Light,2-3 minutes,Seen a trail of 15 -20 lights in a string all travelling SW at a rapid speed. ((Starlink satellites?)),6/25/2020
4/26/2020 22:20,Portage,MI,Light,30 swc,"Straight line of unevenly spaced lights moving from West-Southwest to East, ((Starlink satellites?))",6/25/2020
4/26/2020 22:15,Walton,KY,Formation,1 minute,At least 12 obj objects in a formation. Straight line unequal distances apart. ((Starlink satellites?)),6/25/2020
4/26/2020 22:14,Cassopolis,MI,Light,30-40 seconds,In-Line groupings of light streaming across night sky and dissapearing at specific point. ((Starlink satellites?)),6/25/2020
4/26/2020 22:12,Winchester,KY,Other,15 seconds,I looked up at the moon because it ws so beautiful tonight. Right above my ((Starlink satellites?)),6/25/2020
4/26/2020 22:10,Union,MI,Light,2 minutes,35 small lites fairly straght line all spaced closely in sky headed west to east from Chicago area. ((Starlink satellites?)),6/25/2020
4/26/2020 22:10,Indianapolis,IN,Sphere,:60,Dozens of white orbs traveling in single file. ((Starlink satellites?)),6/25/2020
4/26/2020 22:10,London,KY,Light,30 seconds,Small lights moving vertically.,6/25/2020
4/26/2020 22:08,Lebanon,IN,Formation,45 sec,((NUFORC Note: Witness provides no information. PD)),6/25/2020
